cell,n,izh_total,syn_izh,stdp,x0f,corr_F,corr_F_sd,d_base,corr_RG,corr_RG_sd,gap,corr_F_R,corr_RG_R,troughF,troughF_sd,troughE,ampF,ampE,period_ms,period_cv,lr_phase,lr_R,rgf_p50,rgf_span,cF_t1,cF_t2,cF_t3,ampF_t3_t1,rgf_p50_t1,rgf_p50_t3,n_stable,n_cyc_ok,d_corr_t3_t1,x0f_r,gap_R,wall_s,nest,threads,seeds,ref_cell,d_rg_ref,A1,A2,A3,A4,A5,PASS,target,d_target,REPRO,symptom
ctrl_n480_stdpoff,8,480,13100,off,1.26,-0.9427732597391856,0.023204718431524815,0.010226740260814382,-0.9463857311504513,0.007401268430123435,0.0036124714112657497,-0.9091368721786189,-0.9487271255107674,3.7393790846520405,1.7969981168181164,1.1435827948999147,11.779794773672773,15.56792755100857,519.5969906918499,0.0003390572893845807,0.499993203575457,0.9999977103714981,126.28103348729586,19.395929561188247,-0.945840320549368,-0.9371324154514518,-0.9466327017556356,0.9858271160925389,127.2765465255749,126.11565064234335,7,8,-0.0007923812062676505,1.28,0.039590253332148495,10.095193952322006,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.0,True,True,True,True,True,True,nan,nan,,
n240_indeg_pi_stdpoff,8,240,5592,off,1.289,-0.9547800695334598,0.010175393529929435,-0.0017800695334598826,-0.9440074878028657,0.008140863398831882,-0.010772581730594144,-0.9484283118417003,-0.9444494269689576,3.0780590375415637,0.7794703398547945,1.13474584318706,12.973576742500388,15.579418595952598,519.5979331954252,0.0003880775652191433,0.4999993441764586,0.9999972736098885,129.60690916089268,22.22262317163981,-0.9552188497787603,-0.9548848292731166,-0.9552764267820114,1.0190388422640315,130.12159381551328,129.54106574917608,8,8,-5.75770032511802e-05,1.284,-0.003978884872742672,7.362522572278976,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.002378243347585629,True,True,True,True,True,True,nan,nan,,
n180_indeg_pi_stdpoff,8,180,4072,off,1.263,-0.9001647057345072,0.07485897275961614,0.052835294265492716,-0.931421860235672,0.009744433703101955,0.03125715450116473,-0.9362916945784445,-0.9317377159475524,3.743503907485343,2.661420408784498,1.112093719253471,12.259881097790958,15.603234833237337,519.5992908454402,0.0003547831239880771,0.49998067295509513,0.999995708506405,127.46182961252947,23.134783166518183,-0.8974725661835576,-0.9027982931117762,-0.9027858742122544,1.0321477305476017,128.5050622599124,127.86049046112561,7,8,-0.0053133080286968115,1.295,-0.00455397863089213,6.870956569910049,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.014963870914779354,False,True,False,False,True,False,nan,nan,,readout off-centre: corr_F worse than corr_RG by 0.031 -> re-gate; seed SD 0.075 -> too few inputs per neuron (fixed in-degree / raise p)
n180_indeg_stdpoff,8,180,4072,off,1.268,-0.9448591508330814,0.040476516432504696,0.008140849166918596,-0.9483976798905371,0.00703337449272124,0.003538529057455775,-0.955894420935519,-0.9484095577864499,2.632902393517934,1.7608040568034238,1.1136495641321698,12.962376155254756,15.49066784476537,519.5975697579823,0.00040574011742580934,0.4998317422425125,0.9999952711347145,127.90287400563746,27.38484731842423,-0.949001333793901,-0.9392050212404993,-0.9474622673184506,0.9910372173491933,129.35050080054742,127.82118605457944,8,8,0.0015390664754503514,1.292,-0.007484863149069154,6.768444299697876,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,-0.0020119487400858116,True,True,False,True,True,False,nan,nan,,seed SD 0.040 -> too few inputs per neuron (fixed in-degree / raise p)
n180_indeg_pi_stdpon,8,180,4072,on,1.248,-0.9041347904174694,0.07257004550844032,0.0488652095825306,-0.931934644483257,0.007272836451663552,0.027799854065787666,-0.9376570790579158,-0.9320140795584666,3.6928199540623665,2.579482822121095,1.094250367314875,12.384588723310781,15.620559140831777,519.5996987953645,0.00030325307600658353,0.49998499226243376,0.9999967699009948,126.2188863228086,23.93668206310432,-0.8959637736445859,-0.9112485132434525,-0.9154954046236625,1.0557598778795079,127.58379270623057,125.09944202474615,8,8,-0.019531630979076564,1.281,-0.005642999499449242,6.898337483406067,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,False,True,False,False,True,False,nan,nan,,readout off-centre: corr_F worse than corr_RG by 0.028 -> re-gate; seed SD 0.073 -> too few inputs per neuron (fixed in-degree / raise p)
n140_indeg_pi_stdpoff,8,140,3108,off,1.258,-0.9024127192864073,0.023894571673519435,0.05058728071359264,-0.9116599061566737,0.01785161223120076,0.009247186870266377,-0.9111359825621903,-0.9093053254208852,3.140150994421207,1.554857561959696,1.1380592523328428,12.610995584409588,15.58047299207694,519.597961028803,0.0005811086005351179,0.4999614523323295,0.999992132324764,126.14442428241605,22.527631144826614,-0.9053304824540602,-0.9031629014315521,-0.9020417203637481,1.050003643809526,126.76303551903463,126.4541488037158,4,8,0.0032887620903121056,1.266,-0.0018306571413051476,6.507945120334625,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.03472582499377763,False,True,True,True,True,False,nan,nan,,"alternation below baseline (corr_F -0.902, corr_RG -0.912) -> E3 inhibition"
n140_indeg_stdpoff,8,140,3108,off,1.26,-0.9377855205643993,0.01899572237504792,0.015214479435600614,-0.9329642002005749,0.011891636581169176,-0.004821320363824433,-0.9467928399603046,-0.9291627341012039,2.3127955889937573,0.9803627348239531,1.112371617780598,12.850520741213845,15.323851079523825,519.6011726765385,0.0006685145406163697,0.5000085264130881,0.9999900030436485,126.50527878588055,26.960986473095918,-0.9340650380941782,-0.9395359568968646,-0.9410407935630087,1.013119638241401,127.43487935536326,126.45247186845127,5,8,-0.006975755468830558,1.27,-0.017630105859100742,6.399755001068115,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.013421530949876415,True,True,True,True,True,True,nan,nan,,
n140_indeg_pi_stdpon,8,140,3108,on,1.244,-0.9071596031233932,0.023306304000155105,0.04584039687660679,-0.9156411019290769,0.012742276682219982,0.008481498805683718,-0.9151455480978851,-0.9091982565016204,2.9901560941609877,1.3493827919568433,1.1208530210711014,12.916281198190283,15.596326327688448,519.6032277214483,0.00041393903716320025,0.4999844725253587,0.9999956446642944,124.64945562520187,23.455542725154167,-0.9000356881128212,-0.910227468233025,-0.9180131023039243,1.033584056266229,125.63037156819524,123.87840221819825,8,8,-0.01797741419110306,1.254,-0.0059472915962646145,6.6837707459926605,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,False,True,True,True,True,False,nan,nan,,"alternation below baseline (corr_F -0.907, corr_RG -0.916) -> E3 inhibition"
n100_indeg_pi_stdpoff,8,100,2188,off,1.288,-0.876024456339696,0.0531811174026159,0.07697554366030401,-0.8756071797922949,0.03064895280105296,-0.0004172765474010909,-0.8754127103575412,-0.8897053090454871,3.1175274358442344,1.8650576236039187,1.1332621599050232,12.758829559716048,15.586033590426261,519.5981135333433,0.0006795576536328451,0.4999938181299896,0.9999871377842742,128.89722863740855,23.599884526539284,-0.8772271721508446,-0.8727035476688345,-0.8807530435124385,1.0030851840688744,128.89776481529972,128.82193594062102,6,8,-0.0035258713615940185,1.267,0.014292598687945857,6.307993918657303,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.07077855135815647,False,True,False,True,True,False,nan,nan,,seed SD 0.053 -> too few inputs per neuron (fixed in-degree / raise p)
n100_indeg_stdpoff,8,100,2188,off,1.28,-0.9142570273881555,0.045542540357099835,0.03874297261184445,-0.9110434264037723,0.019488002872269494,-0.003213600984383169,-0.9165451470390816,-0.9154056868342907,2.3156715247636974,1.8196953290051414,1.0611605061981522,12.413350310152131,15.056311305375415,519.5975804466249,0.0010100744576063986,0.49988455995917497,0.9999726593328436,129.18591224018166,28.146651270184122,-0.9090117230941704,-0.9179727610309728,-0.9184635268798729,1.0042072650090104,129.3323783603683,129.46746151334176,7,8,-0.009451803785702498,1.262,-0.001139460204790943,6.145774394273758,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.03534230474667899,False,True,False,True,True,False,nan,nan,,seed SD 0.046 -> too few inputs per neuron (fixed in-degree / raise p)
