cell,n,izh_total,syn_izh,stdp,x0f,corr_F,corr_F_sd,d_base,corr_RG,corr_RG_sd,gap,corr_F_R,corr_RG_R,troughF,troughF_sd,troughE,ampF,ampE,period_ms,period_cv,lr_phase,lr_R,rgf_p50,rgf_span,cF_t1,cF_t2,cF_t3,ampF_t3_t1,rgf_p50_t1,rgf_p50_t3,n_stable,n_cyc_ok,d_corr_t3_t1,x0f_r,gap_R,wall_s,w_drift,nest,threads,seeds,ref_cell,d_rg_ref,A1,A2,A3,A4,A5,PASS,target,d_target,REPRO,symptom,gait_ms,A6,A7,A8
n100_fin520_inh067_stdpoff,8,100,2712,off,1.275,-0.941087979353058,0.04240091617438248,0.011912020646941968,-0.9295580490076963,0.01155300578393224,-0.01152993034536165,-0.9198949975797215,-0.9276876663232994,1.9265042081562767,1.2565048017362261,1.0397702672111433,12.930812583040412,15.074624440162664,519.6011082961131,0.0011355888923974392,0.49958484914621254,0.9999679699915558,127.52598152418022,28.363163971953448,-0.9436609885723799,-0.9419102283763023,-0.9381898229393474,1.0074123406851574,127.30965282428366,127.59670162362337,8,8,0.005471165633032585,1.247,0.0077926687435778685,13.072021663188934,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,-0.03437149667864736,True,True,False,True,True,False,nan,nan,,seed SD 0.042 -> too few inputs per neuron (fixed in-degree / raise p),,,,
n100_fin520_inh08_stdpoff,8,100,2712,off,1.25,-0.956317628152031,0.036788385964254544,-0.0033176281520310713,-0.9432971305890525,0.008371179650635774,-0.013020497562978517,-0.9350023081765905,-0.9402729410722661,1.6989804108627478,1.106473622789169,1.0379534815181448,13.355679803191475,15.107101161532926,519.5995205456785,0.0011481708494630706,0.4996238780568761,0.9999690812784031,125.6495381061687,32.62124711267257,-0.9582643099844737,-0.9540187199120485,-0.9573035203332189,1.0026614291631417,125.64877208953685,125.14542313184208,7,8,0.0009607896512547759,1.221,0.005270632895675642,12.959598511457443,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,-0.048110578260003534,True,True,False,True,True,False,nan,nan,,seed SD 0.037 -> too few inputs per neuron (fixed in-degree / raise p),,,,
n100_fin520_inh10_stdpoff,8,100,2712,off,1.221,-0.9676511478309834,0.026214032670414462,-0.014651147830983424,-0.9513740538679701,0.006021982959687378,-0.016277093963013245,-0.958080005493671,-0.9510316645623539,1.308165913455669,0.7556855460024813,1.036408785413072,13.781882576629352,15.097725980908272,519.6013680397083,0.0010842589422883349,0.4996202073171141,0.9999695993377273,122.54618937642073,38.68360277088409,-0.971371963292976,-0.9650564161667599,-0.9668845210304777,1.0004086628228592,121.75253015173347,121.60999238179598,7,8,0.004487442262498295,1.197,-0.007048340931317121,13.237814635038376,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,-0.05618750153892116,True,True,True,True,True,True,nan,nan,,,,,,
n100_fin520_inh15_stdpoff,8,100,2712,off,1.143,-0.9838434004985799,0.009941798907212302,-0.03084340049857992,-0.9599666607408776,0.00429550747745416,-0.023876739757702325,-0.9764888444336338,-0.9604999767664084,0.9529989913885508,0.2604264625102823,1.039108997208357,14.208887222870398,15.097925096504156,519.6026856696172,0.001139928323976002,0.4996698018026863,0.9999674662432398,114.46304849883566,52.90127020717116,-0.9849411076930461,-0.9833927716796474,-0.9835002461051676,1.0059555180224795,114.10131350881215,114.8945768438293,7,8,0.0014408615878785391,1.122,-0.015988867667225404,13.367445588111877,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,-0.06478010841182857,False,True,True,True,True,False,nan,nan,,"MORE alternating than baseline by 0.031 (troughF 0.95): too much inhibition, step it back",,,,
n100_fin520_inh067_stdpon,8,100,2712,on,1.27,-0.9472528523457093,0.037654006676314626,0.025747147654290647,-0.9321641612462919,0.012548486446542884,-0.015088691099417462,-0.9217927623208887,-0.9291498963113922,1.85907315891816,1.2244579673127003,1.0403208806204216,12.995196285129063,15.103879366537068,519.600004488446,0.0010711986239580358,0.4996637675555025,0.9999665553892417,127.09295612014466,28.290993071346776,-0.944670410906538,-0.94811554559093,-0.9500347071763213,1.005353574615689,127.45521115957429,126.95038065295856,8,8,-0.005364296269783297,1.238,0.007357133990503528,13.03364473581314,2.83614351408473,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,False,True,False,True,True,False,nan,nan,,seed SD 0.038 -> too few inputs per neuron (fixed in-degree / raise p),,,,
n100_fin520_inh08_stdpon,8,100,2712,on,1.247,-0.9572726577731034,0.03574248076553859,0.015727342226896535,-0.944586507943566,0.005015702179080806,-0.012686149829537419,-0.9430688614393898,-0.941878400109038,1.625384617841901,1.0850333421658434,1.0404803531759474,13.444531957142571,15.1024550490736,519.600142299722,0.0010413842986730032,0.49957033294409664,0.9999726576223497,125.9382217089058,32.98210161622984,-0.9603055336273569,-0.9540602561095728,-0.9581920464831853,1.009859429664649,125.79573656860681,125.13784852443236,7,8,0.002113487144171672,1.22,-0.001190461330351833,13.07556602358818,2.8262967116418216,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,False,True,True,False,nan,nan,,seed SD 0.036 -> too few inputs per neuron (fixed in-degree / raise p),,,,
n100_fin520_inh10_stdpon,8,100,2712,on,1.215,-0.9702926082412376,0.0272684809698212,0.002707391758762334,-0.9548862778281865,0.004287531524378043,-0.015406330413051172,-0.9571652222375473,-0.9525305034276936,1.3587054409123978,0.8196905755432545,1.0367789368012386,13.770013297334671,15.113710471738365,519.6030213040185,0.0010203171413622344,0.4996097383656329,0.9999697149316027,121.96882217096199,38.900115472859746,-0.9695659499951997,-0.9685435828745328,-0.9732711533973535,0.9941451951367448,122.32979959189572,122.11410186309028,8,8,-0.0037052034021537172,1.192,-0.004634718809853666,12.946301013231277,2.8346403659255675,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,nan,nan,,,,,,
n100_fin520_inh15_stdpon,8,100,2712,on,1.133,-0.9801865757505458,0.015255031855345637,-0.0071865757505458205,-0.957315039877099,0.004974468673543323,-0.022871535873446813,-0.9752107620438667,-0.9603701490239199,0.9642419676859998,0.2631514645555657,1.036026510922559,14.248969579392314,15.113233316729477,519.5985615435773,0.0011229222123443322,0.49962716743161195,0.9999663356605385,113.9578521939724,52.90127020713046,-0.9772862782497447,-0.982573555432073,-0.9809608726952569,0.997144209167554,113.81275702437547,113.59464779844281,8,8,-0.003674594445512186,1.124,-0.014840613019946769,12.543976724147797,2.8508466318780017,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,nan,nan,,,,,,
base_k100_g350_stdpoff,8,1200,118208,off,2.895,-0.9183837159439541,0.013930462914355327,0.0,-0.895186552329049,0.0064483805107627325,-0.023197163614905092,-0.917176888367963,-0.8942458773473679,2.5232858439136447,0.3544591562301273,3.0205109415494142,13.903824229606489,12.363286886057853,350.39999614510634,0.0020183209940103715,0.49998431494300144,0.9998814548409788,297.9452054788323,568.4460616387779,-0.9128876110867645,-0.9150366449595004,-0.929017121250351,1.0000029985237084,295.7578580647198,296.620936807476,8,8,-0.01612951016358645,2.952,-0.022931011020595027,179.13624250888824,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,0.0,True,True,True,True,True,True,-0.9183837159439541,0.0,,,350,True,True,True
base_k100_g520_stdpoff,8,1200,118208,off,2.597,-0.954675284785697,0.012718721170074962,0.0,-0.9380884213335132,0.006208502236068943,-0.016586863452183742,-0.9424144359608314,-0.9360922253842866,0.83370917911367,0.018951726319373963,1.0107923931378096,15.893402375129783,15.699503212941417,519.5999966074984,3.7255061470428015e-06,0.4999938426237521,0.9999997925287201,243.6922632788459,514.7806004569853,-0.950963319557919,-0.9516176337647815,-0.9620464394130523,0.9989320449456052,243.799166997111,244.41803176477217,8,8,-0.0110831198551333,2.601,-0.006322210576544807,168.4332850575447,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,-0.042901869004464244,True,True,True,True,True,True,-0.954675284785697,0.0,,,520,True,True,True
