cell,n,izh_total,syn_izh,stdp,x0f,corr_F,corr_F_sd,d_base,corr_RG,corr_RG_sd,gap,corr_F_R,corr_RG_R,troughF,troughF_sd,troughE,ampF,ampE,period_ms,period_cv,lr_phase,lr_R,rgf_p50,rgf_span,cF_t1,cF_t2,cF_t3,ampF_t3_t1,rgf_p50_t1,rgf_p50_t3,n_stable,n_cyc_ok,d_corr_t3_t1,x0f_r,gap_R,wall_s,nest,threads,seeds,ref_cell,d_rg_ref,A1,A2,A3,A4,A5,PASS,target,d_target,REPRO,symptom
ctrl_n480_stdpoff,8,480,13100,off,1.26,-0.9427732597391856,0.023204718431524815,0.010226740260814382,-0.9463857311504513,0.007401268430123435,0.0036124714112657497,-0.9091368721786189,-0.9487271255107674,3.7393790846520405,1.7969981168181164,1.1435827948999147,11.779794773672773,15.56792755100857,519.5969906918499,0.0003390572893845807,0.499993203575457,0.9999977103714981,126.28103348729586,19.395929561188247,-0.945840320549368,-0.9371324154514518,-0.9466327017556356,0.9858271160925389,127.2765465255749,126.11565064234335,7,8,-0.0007923812062676505,1.28,0.039590253332148495,10.376424968242645,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.0,True,True,True,True,True,True,nan,nan,,
n140_indeg_stdpoff,8,140,3108,off,1.26,-0.9377855205643993,0.01899572237504792,0.015214479435600614,-0.9329642002005749,0.011891636581169176,-0.004821320363824433,-0.9467928399603046,-0.9291627341012039,2.3127955889937573,0.9803627348239531,1.112371617780598,12.850520741213845,15.323851079523825,519.6011726765385,0.0006685145406163697,0.5000085264130881,0.9999900030436485,126.50527878588055,26.960986473095918,-0.9340650380941782,-0.9395359568968646,-0.9410407935630087,1.013119638241401,127.43487935536326,126.45247186845127,5,8,-0.006975755468830558,1.27,-0.017630105859100742,6.552930504083633,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.013421530949876415,True,True,True,True,True,True,nan,nan,,
n100_indeg_stdpoff,8,100,2188,off,1.28,-0.9142570273881555,0.045542540357099835,0.03874297261184445,-0.9110434264037723,0.019488002872269494,-0.003213600984383169,-0.9165451470390816,-0.9154056868342907,2.3156715247636974,1.8196953290051414,1.0611605061981522,12.413350310152131,15.056311305375415,519.5975804466249,0.0010100744576063986,0.49988455995917497,0.9999726593328436,129.18591224018166,28.146651270184122,-0.9090117230941704,-0.9179727610309728,-0.9184635268798729,1.0042072650090104,129.3323783603683,129.46746151334176,7,8,-0.009451803785702498,1.262,-0.001139460204790943,6.177237093448639,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.03534230474667899,False,True,False,True,True,False,nan,nan,,seed SD 0.046 -> too few inputs per neuron (fixed in-degree / raise p)
n100_kmin2c_stdpoff,8,100,2353,off,1.238,-0.9515332837333058,0.02807361211355664,0.0014667162666941458,-0.941107893176914,0.006857651770034404,-0.0104253905563918,-0.929897264447668,-0.9392091586738036,1.637145555173977,1.0547639314396047,1.0448968070498377,13.136622383842944,15.064333855046497,519.5949096619303,0.0011641554005012932,0.4999507323581195,0.9999723706217248,123.8452655889118,34.353348729775945,-0.9517252946804228,-0.9516815404897421,-0.9524924096683011,1.0143258140767295,125.36628729579003,123.98873115878003,7,8,-0.0007671149878782091,1.234,0.009311894226135653,6.259713351726532,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.005277837973537314,True,True,True,True,True,True,nan,nan,,
n100_kmin3_stdpoff,8,100,2532,off,1.038,-0.9644723995822962,0.018708760098088698,-0.011472399582296289,-0.9360757833518918,0.006505100232859575,-0.02839661623040446,-0.9637045657831486,-0.9395563612716247,0.6205684680415049,0.1777912172164596,0.9545952735702462,14.610384423411297,15.158940621914105,519.5958429973624,0.0012275617170655192,0.4999763091768316,0.999969135733513,98.00808314087843,88.62586605075649,-0.9619484266772734,-0.9598216830730499,-0.9726182373845877,0.9933245875880302,102.13636989835766,97.65757283527415,7,8,-0.010669810707314334,1.041,-0.024148204511523885,6.271412163972855,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.010309947798559538,True,True,True,False,True,False,nan,nan,,corr_F better than corr_RG by 0.028: steep gate squares the output (reference-type cell)
n100_kmin3c_inex05_stdpoff,8,100,2532,off,1.296,-0.9021526628322794,0.06260064734521761,0.05084733716772061,-0.90129230149405,0.01609014161224031,-0.0008603613382293096,-0.8811153254803448,-0.90698185895641,2.505954812607851,1.8436323754707955,1.0367762948284127,11.686425444308014,15.111774205574086,519.5938493776192,0.0011043746257814802,0.5000710091661014,0.9999750774600815,128.9693995381073,23.311200923768773,-0.9044149869829624,-0.8949901733996589,-0.9091295597892715,1.0287579307171792,128.9000303817875,129.32711060032784,6,8,-0.004714572806309075,1.257,0.025866533476065268,6.071611970663071,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.045093429656401285,False,True,False,True,True,False,nan,nan,,seed SD 0.063 -> too few inputs per neuron (fixed in-degree / raise p)
n100_kmin3c_inex15_stdpoff,8,100,2532,off,1.149,-0.9696320269809879,0.01958753364620639,-0.01663202698098798,-0.9557558054130593,0.004171468270630846,-0.01387622156792867,-0.9750686938694966,-0.9582378150245996,0.940313641705556,0.3524821525054368,1.044384697375885,13.983754946827244,15.100750388311845,519.6061443331287,0.0010062590830879517,0.5001901105737303,0.9999762764098575,115.18475750576147,49.79792147803711,-0.9729576416290835,-0.9647200619660546,-0.9724369438458581,1.0100454813630662,117.93443136808688,114.17444345901833,7,8,0.0005206977832253601,1.136,-0.01683087884489698,6.051574468612671,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,-0.009370074262607941,True,True,True,True,True,True,nan,nan,,
n100_kmin3c_infx2_stdpoff,8,100,2532,off,1.228,-0.9504943423348655,0.040102313124460096,0.002505657665134442,-0.9471924600697654,0.008008852491310213,-0.0033018822651000868,-0.9300310406512537,-0.9517867068127208,1.2709334196517386,0.8166409584560855,0.9935995438550816,13.500740017323308,15.137031483279754,519.5978824409359,0.0010462328858314635,0.5000287977677591,0.9999767964054649,121.75230946881611,37.601039260951936,-0.9470459879737405,-0.9541702269204217,-0.9516814537202166,1.0063328238074354,123.34482151975051,121.31997086547418,8,8,-0.004635465746476136,1.181,0.02175566616146707,6.053974270820618,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,-0.0008067289193141036,True,True,False,True,True,False,nan,nan,,seed SD 0.040 -> too few inputs per neuron (fixed in-degree / raise p)
n100_kmin3c_stdpoff,8,100,2532,off,1.218,-0.9518639431007871,0.036428575481604886,0.0011360568992128117,-0.9489563406977998,0.007860310722077987,-0.002907602402987375,-0.9338383583238321,-0.9491105933715664,1.450407104693437,0.8807669446906132,1.0426421949882856,13.350696107819715,15.109199564721777,519.601024955193,0.001073201447388916,0.5001674943743424,0.9999767525272468,121.24711316397259,37.45669745955915,-0.9550007634215514,-0.9542725514868794,-0.9476093399751963,1.0004158125956295,123.92251027264837,121.68157261307535,6,8,0.007391423446355058,1.184,0.01527223504773434,6.469191253185272,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,-0.002570609547348446,True,True,False,True,True,False,nan,nan,,seed SD 0.036 -> too few inputs per neuron (fixed in-degree / raise p)
n100_kmin3c_stdpon,8,100,2532,on,1.211,-0.9570552129760984,0.031017842044103433,-0.0040552129760984545,-0.9489292020959891,0.0057337293951337225,-0.008126010880109336,-0.9377445309877406,-0.9520709619118459,1.197313120063167,0.7154252645442084,1.0339439688269925,13.569312922990203,15.184629217230851,519.6016630704095,0.0008472300782668368,0.5001023399003222,0.9999828421011819,120.23672055427718,38.53926096994927,-0.9551697676297087,-0.9580260519880525,-0.9626203861751254,1.0297424537703306,123.63693034726978,119.80401809869839,8,8,-0.007450618545416551,1.175,0.014326430924105349,6.071967303752899,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,False,True,True,False,nan,nan,,seed SD 0.031 -> too few inputs per neuron (fixed in-degree / raise p)
