cell,n,izh_total,syn_izh,stdp,x0f,corr_F,corr_F_sd,d_base,corr_RG,corr_RG_sd,gap,corr_F_R,corr_RG_R,troughF,troughF_sd,troughE,ampF,ampE,period_ms,period_cv,lr_phase,lr_R,rgf_p50,rgf_span,cF_t1,cF_t2,cF_t3,ampF_t3_t1,rgf_p50_t1,rgf_p50_t3,n_stable,n_cyc_ok,d_corr_t3_t1,x0f_r,gap_R,wall_s,w_drift,nest,threads,seeds,ref_cell,d_rg_ref,A1,A2,A3,A4,A5,PASS,target,d_target,REPRO,symptom,gait_ms,trough_lim,A6,A7,d_rg_base,d_rg_base_R,A8
n100_B_rgfd05_g350_stdpon,8,100,2532,on,3.099,-0.9768770028197319,0.01665771241188982,-0.05849328687577782,-0.9635168757972771,0.004935485396739254,-0.013360127022454815,-0.9744384549794642,-0.9613176153651612,2.7729771255200806,0.23129823451597825,2.8451031155526825,12.367171112895477,12.033907972135065,350.3995643858049,0.001628318999127743,0.5002442325322591,0.9999501125330592,301.15582191956383,285.70205479080676,-0.9794713715795165,-0.9739553621904208,-0.9774253120324985,0.9996339833323341,310.3896283805904,304.075441730258,8,8,0.002046059547018003,3.104,-0.013120839614302993,14.133756458759308,2.693453054347625,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,False,True,True,True,True,False,-0.9183837159439541,-0.05849328687577782,,"RIGHT leg off baseline (corr_F R -0.974, corr_RG R -0.961)",350,4.0,False,True,-0.0683303234682281,-0.06707173801779331,True
n100_B_rgfd05_g520_stdpon,8,100,2532,on,3.03,-0.9954074897224643,0.0004237730118430806,-0.040732204936767324,-0.9811954364057891,0.0018988500284689137,-0.014212053316675188,-0.9955021470424071,-0.9805236112860294,0.9813336118957982,0.014288329926377184,1.0032944270882855,15.501436466794294,15.147591972674512,519.5991611472248,0.0009651675384753201,0.50010378946748,0.9999792120215655,294.31293302535545,223.008083137595,-0.9951790599691421,-0.9955368111798394,-0.9955272083960696,0.9995441919063035,294.0991478522204,296.4728895936182,8,8,-0.00034814842692752757,3.021,-0.014978535756377753,12.827515006065369,2.7736931549236408,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,False,True,True,True,True,False,-0.954675284785697,-0.040732204936767324,,"RIGHT leg off baseline (corr_F R -0.996, corr_RG R -0.981)",520,4.0,False,True,-0.04310701507227588,-0.04443138590174278,True
n100_B_rgfd05_g780_stdpon,8,100,2532,on,2.939,-0.997248105496258,0.0007657468824527131,-0.003663953928090491,-0.9644487141739606,0.002795937789071835,-0.03279939132229737,-0.9969257832905887,-0.9644575233288993,0.21748623541928788,0.0149615034281163,0.30343456872327235,16.794162712533176,16.27703909193303,779.9828295191252,0.0014952904105116915,0.5002935387379024,0.999964815326431,296.63749999965444,164.62861111112096,-0.9971622533102898,-0.9971527406183369,-0.9974603650256515,0.9998587473918236,296.695831298873,300.8458314896235,8,8,-0.00029811171536169023,2.925,-0.03246825996168934,13.388866275548935,2.8539375524052684,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,-0.9935841515681675,-0.003663953928090491,,,780,4.0,True,True,-0.034709270230797395,-0.041586940410608286,True
n100_B_rgfd1_g350_stdpon,8,100,2532,on,2.502,-0.9438735767700983,0.046439394027407474,-0.02548986082614424,-0.9469232596688728,0.006658288895340956,0.0030496828987744973,-0.9451739214374408,-0.9449257668518811,2.188844790212937,0.58367945333853,2.861472081358299,12.729763160760832,12.035393223528306,350.3985929177079,0.0016155069522009466,0.500421128685621,0.9999414511499218,235.23116438385844,207.87671232630709,-0.9456742788656888,-0.9463164045156907,-0.9410937944047436,1.0017399828026312,238.23652438275218,236.12050811516923,7,8,0.004580484460945181,2.515,-0.00024815458555971226,14.42836257815361,2.7147554316140767,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,False,True,True,False,-0.9183837159439541,-0.02548986082614424,,seed SD 0.046 -> too few inputs per neuron (fixed in-degree / raise p),350,4.0,True,True,-0.05173670733982383,-0.05067988950451319,True
n100_B_rgfd1_g520_stdpon,8,100,2532,on,2.441,-0.9939176320927157,0.002419206942790141,-0.0392423473070187,-0.9742828708879284,0.0024753427025206495,-0.019634761204787243,-0.9941132299187849,-0.975494851879124,0.9309676675362641,0.06836205955080246,1.0135358690085425,15.375421040711169,15.126600088487507,519.5970954577508,0.0010063854916660586,0.5002017368392067,0.9999797264325069,237.65877598161734,156.2499999976531,-0.9929627709938592,-0.9939044966902947,-0.9949668771346848,0.9995564265681388,236.725526344981,235.9275390670454,8,8,-0.0020041061408254957,2.438,-0.018618378039660932,12.781085193157196,2.789786660510009,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,False,-0.954675284785697,-0.0392423473070187,,"RIGHT leg off baseline (corr_F R -0.994, corr_RG R -0.975)",520,4.0,False,True,-0.0361944495544152,-0.03940262649483739,True
n100_B_rgfd1_g780_stdpon,8,100,2532,on,2.368,-0.9953476492439003,0.0009291867426751243,-0.0017634976757328058,-0.9469194846384683,0.0038899248197581944,-0.04842816460543198,-0.9945173875788075,-0.9477912489957738,0.22896706842309053,0.030096877555246645,0.3218082512911423,16.570562405734865,16.269672473073125,779.974446549475,0.0015273017127765765,0.5002329737832654,0.9999637496980703,237.55416666681498,114.87174603162126,-0.9957443663502292,-0.9953504649450179,-0.9950711651132986,1.0003684058849887,238.92916908270055,239.85555566115858,8,8,0.0006732012369306262,2.354,-0.04672613858303365,13.907016605138779,2.861672409563317,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,-0.9935841515681675,-0.0017634976757328058,,,780,4.0,True,True,-0.0171800406953051,-0.024920666077482778,True
n100_B_rgfd1_inex1_g350_stdpon,8,100,2532,on,2.648,-0.9500190318509782,0.0442785245623095,-0.031635315907024175,-0.9527030659119818,0.002278523974014134,0.002684034061003593,-0.9563137427082781,-0.9511935979974828,2.360767655337388,0.6615788829745255,2.8507512709798206,12.707538606099428,12.039443286786065,350.39976924233605,0.001647772117713735,0.5004291414449378,0.9999408059675388,258.3476027397901,148.88698629962516,-0.9553615870439087,-0.9483397776997226,-0.947401291938468,1.001462402528139,260.92661872583824,258.389050790048,7,8,0.00796029510544069,2.613,-0.005120144710795249,14.21172484755516,2.710534962196755,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,False,True,True,False,-0.9183837159439541,-0.031635315907024175,,seed SD 0.044 -> too few inputs per neuron (fixed in-degree / raise p),350,4.0,True,True,-0.05751651358293286,-0.056947720650114886,True
n100_B_rgfd1_inex1_g520_stdpon,8,100,2532,on,2.604,-0.9911523684175108,0.005817758583848611,-0.03647708363181379,-0.9742663821572882,0.001823894347350451,-0.01688598626022253,-0.9887872191186938,-0.9740723631148636,0.9410867635578478,0.06537647439088325,1.0127116158572222,15.387008468800758,15.13355284552499,519.5976913919768,0.0010606325146428565,0.5001232820466133,0.9999792916190438,257.1449191686201,113.95785219225354,-0.9921279895620772,-0.9898563998741582,-0.9915713556217091,1.0003650132740969,258.083526074359,258.0154925908139,8,8,0.0005566339403681314,2.584,-0.014714856003830268,12.82731756567955,2.7979827556787407,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,False,-0.954675284785697,-0.03647708363181379,,"RIGHT leg off baseline (corr_F R -0.989, corr_RG R -0.974)",520,4.0,False,True,-0.036177960823775,-0.03798013773057696,True
n100_B_rgfd1_inex1_g780_stdpon,8,100,2532,on,2.594,-0.9931288193034772,0.0025286411732009626,0.0004553322646903002,-0.9314227071567055,0.006552234583914405,-0.061706112146771686,-0.9880887080240235,-0.9319537386920703,0.26434456819665636,0.07129431013500737,0.3199539654483794,16.521968135520478,16.266535936158043,779.9762766711431,0.0015409344342950941,0.5001634749916405,0.9999652432013664,259.1083333334667,88.57611111091214,-0.9930568187048523,-0.9935102928812926,-0.9930389269825467,0.9996491768430165,259.14166374208986,259.84999809249183,8,8,1.7891722305540814e-05,2.553,-0.056134969331953166,13.184690475463867,2.854251226700529,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,-0.9935841515681675,0.0004553322646903002,,,780,4.0,True,True,-0.0016832632135422854,-0.009083155773779272,True
n100_B_rgfd2_g350_stdpon,8,100,2532,on,1.815,-0.9175049246370923,0.045659400403125876,0.0008787913068617481,-0.9303719805479138,0.009534575934910998,0.01286705591082149,-0.9155681726017847,-0.9313136761893063,1.9166176588371813,0.6146370688977925,2.8760194232467367,12.49020310464109,12.03395426326012,350.40141035111117,0.0017091529951213733,0.5003054236958769,0.9999441158403206,172.5171232877719,127.52568493009493,-0.9193400621100286,-0.9118492884480601,-0.9234319553512585,0.9914762622525997,173.81577269798495,172.34030834648962,7,8,-0.004091893241229952,1.824,0.01574550358752158,14.215413212776184,2.71068342729659,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,False,True,True,False,-0.9183837159439541,0.0008787913068617481,,seed SD 0.046 -> too few inputs per neuron (fixed in-degree / raise p),350,4.0,True,True,-0.035185428218864834,-0.03706779884193834,True
n100_B_rgfd2_g520_stdpon,8,100,2532,on,1.778,-0.9871409658571948,0.009958983117811574,-0.03246568107149783,-0.964623960397686,0.0038938160592848358,-0.022517005459508743,-0.9867284267542272,-0.9681806846149524,0.8082693967818696,0.16800805603212318,1.03003071575553,15.113771486590954,15.13452232206883,519.6030614412712,0.0010872115543963188,0.5000726842457153,0.9999753015649432,174.3648960739311,96.13163972152839,-0.9868869895743867,-0.9895341987388688,-0.9851375807182148,1.0018994505525816,174.00594056423805,174.286844231272,8,8,0.0017494088561719051,1.78,-0.018547742139274792,12.718658775091171,2.785327998118375,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,False,-0.954675284785697,-0.03246568107149783,,"RIGHT leg off baseline (corr_F R -0.987, corr_RG R -0.968)",520,4.0,False,True,-0.02653553906417283,-0.03208845923066583,True
n100_B_rgfd2_g780_stdpon,8,100,2532,on,1.728,-0.9898583220976701,0.0031167404010218466,0.003725829470497377,-0.9176204085815233,0.011013798912228735,-0.07223791351614683,-0.9857932778415222,-0.9173018282903791,0.3452613581187318,0.1376622229708383,0.33663931863502544,16.015894855561637,16.263613647418556,779.9781703754367,0.001591768138556452,0.5002788691890934,0.9999624974212186,175.3875000001571,71.59333333310059,-0.9902776410920635,-0.9897446434804951,-0.9899639404851385,1.000486639442148,175.5152773857915,175.52638670571298,8,8,0.00031370060692499646,1.719,-0.06849144955114306,13.367468565702438,2.86085601337436,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,-0.9935841515681675,0.003725829470497377,,,780,4.0,True,True,0.01211903536163994,0.005568754627911954,True
