cell,n,izh_total,syn_izh,stdp,x0f,corr_F,corr_F_sd,d_base,corr_RG,corr_RG_sd,gap,corr_F_R,corr_RG_R,troughF,troughF_sd,troughE,ampF,ampE,period_ms,period_cv,lr_phase,lr_R,rgf_p50,rgf_span,cF_t1,cF_t2,cF_t3,ampF_t3_t1,rgf_p50_t1,rgf_p50_t3,n_stable,n_cyc_ok,d_corr_t3_t1,x0f_r,gap_R,wall_s,w_drift,nest,threads,seeds,ref_cell,d_rg_ref,A1,A2,A3,A4,A5,PASS,target,d_target,REPRO,symptom,gait_ms,trough_lim,A6,A7,d_rg_base,d_rg_base_R,A8
n100_B_d25_g350_stdpon,8,100,2532,on,1.607,-0.9085779160097784,0.04618369620484937,0.00980579993417563,-0.9226375516388707,0.008978565571616751,0.014059635629092293,-0.9097723538764911,-0.9255242328912932,1.8887271051340948,0.6383711406849788,2.8786329780731488,12.152345083378359,12.028525704913692,350.3989626344078,0.0017967802399560732,0.5003938778565875,0.9999346134398995,153.2534246577117,107.14897260148489,-0.9075370277640711,-0.9145425757652861,-0.9048042560397931,1.0053965268666516,154.33277163255988,153.25458931677454,8,8,0.002732771724278077,1.61,0.015751879014802017,13.829445391893387,2.725181534166412,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,False,True,True,False,-0.9183837159439541,0.00980579993417563,,seed SD 0.046 -> too few inputs per neuron (fixed in-degree / raise p),350,4.0,True,True,-0.027450999309821755,-0.03127835554392522,True
n100_B_d25_g520_stdpon,8,100,2532,on,1.57,-0.9848548877082148,0.013447423008784752,-0.030179602922517867,-0.961106419715417,0.003976327963761744,-0.02374846799279784,-0.9828981731745393,-0.9644406291761942,0.8288452477682792,0.18226263985519114,1.0314213573616646,14.895352539104735,15.13674132787992,519.603355610995,0.0010240770218853546,0.5000890476436773,0.999978633381844,155.88914549668308,80.6148960729405,-0.9848260696913949,-0.9865978286202991,-0.9833148133259147,0.9980779316898044,155.23991451655965,154.16428122313076,8,8,0.0015112563654801764,1.562,-0.018457543998345094,12.650842070579529,2.7960389022505465,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,False,-0.954675284785697,-0.030179602922517867,,"RIGHT leg off baseline (corr_F R -0.983, corr_RG R -0.964)",520,4.0,False,True,-0.02301799838190377,-0.028348403791907617,True
n100_B_d25_g780_stdpon,8,100,2532,on,1.534,-0.9879219223805369,0.004742179129913593,0.005662229187630596,-0.901076632587463,0.011678559858970018,-0.08684528979307393,-0.9797781526105993,-0.904701466138594,0.45973247682610535,0.28318999292064395,0.3471726472743894,15.670101193680221,16.26113581893165,779.9729388100076,0.001566837937832694,0.5002264853373348,0.9999605545725301,154.66944444459324,61.577499999885674,-0.9876178846226615,-0.9880204698500155,-0.9885212690553028,1.0071904818289146,154.99027843477748,155.12499980924943,8,8,-0.0009033844326412493,1.52,-0.07507668647200527,13.107599943876266,2.8517163935059044,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,False,-0.9935841515681675,0.005662229187630596,,"RHYTHM weaker than baseline at this gait (corr_RG -0.901 / R -0.905, baseline -0.930 worse by 0.029) -- force looks fine only because the gate squares it -> E3/E5 at this gait",780,4.0,True,True,0.028662811355700257,0.018169116779697014,False
n100_B_d3_g350_stdpon,8,100,2532,on,1.438,-0.9046181957387838,0.04245106087326108,0.0137655202051703,-0.9210749967226959,0.008654440802085698,0.016456800983912112,-0.9058205739154138,-0.9247349437203207,1.9443499242018727,0.6202328841240003,2.8838687463662485,12.24133563236291,12.022052640334342,350.40019694231205,0.001605171502090486,0.5003648498148935,0.9999352769214327,138.48458904110697,91.9520547935233,-0.9144299700283238,-0.9013006905739539,-0.8992099905174815,1.008289585450539,138.06135110474736,138.28271089316877,5,8,0.015219979510842321,1.443,0.018914369804906905,13.837602585554123,2.713247603925294,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,False,True,True,False,-0.9183837159439541,0.0137655202051703,,seed SD 0.042 -> too few inputs per neuron (fixed in-degree / raise p),350,4.0,True,True,-0.025888444393646903,-0.03048906637295279,True
n100_B_d3_g520_stdpon,8,100,2532,on,1.412,-0.9816971490011486,0.009988895055499733,-0.027021864215451608,-0.9586467153632716,0.0034753723394249916,-0.023050433637876955,-0.9766976919553926,-0.9593450005245093,0.8470899125421588,0.16847759714936394,1.0330604996769328,14.673633029325032,15.139257863046371,519.6039542648195,0.0010532326513631488,0.5002820914954612,0.9999773327570839,139.79503464199968,68.92321016075564,-0.979937154799064,-0.9837062021462609,-0.9816637686362885,0.9993740149961517,139.72371526567701,139.8620058643095,8,8,-0.0017266138372244721,1.396,-0.01735269143088325,12.549496084451675,2.8250364764611344,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,-0.954675284785697,-0.027021864215451608,,,520,4.0,True,True,-0.020558294029758395,-0.023252775140222726,True
n100_B_d3_g780_stdpon,8,100,2532,on,1.374,-0.9828614615980716,0.00969512185883757,0.010722689970095844,-0.8876400175009975,0.011559486731304448,-0.09522144409707411,-0.9746667982761098,-0.8942318941901056,0.6245677622550355,0.3977657902876816,0.3536926135090638,15.313346046830853,16.254036647796443,779.9773301119217,0.0016144459645644068,0.500210045885801,0.99996170901824,139.5999999998928,53.30777777780862,-0.9792454184023742,-0.9847128467513506,-0.9850346399056242,1.006772882947324,139.3333341598306,139.7291657450261,8,8,-0.00578922150325005,1.369,-0.08043490408600418,13.29263123869896,2.872287694198754,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,False,-0.9935841515681675,0.010722689970095844,,"RHYTHM weaker than baseline at this gait (corr_RG -0.888 / R -0.894, baseline -0.930 worse by 0.042) -- force looks fine only because the gate squares it -> E3/E5 at this gait",780,4.0,True,True,0.04209942644216569,0.028638688728185424,False
n100_Bk4_d2_g350_stdpon,8,100,2712,on,1.83,-0.9278861191906694,0.03958239898609183,-0.009502403246715363,-0.9344967174783805,0.00488457426880722,0.006610598287711045,-0.9284217157713269,-0.9358259925968007,1.9683538349328038,0.461011830272339,2.8576627578048317,12.515412764732966,12.020884800127293,350.3994484004415,0.0017499029715842634,0.4992090893554317,0.9999100668819774,172.94520547936258,130.17979451925362,-0.9297894316439206,-0.9233702411376944,-0.9315304125533495,0.9843168458155258,173.168437511656,172.15469983552563,8,8,-0.001740980909428827,1.798,0.007404276825473732,14.041732162237167,2.7338604505174913,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,False,True,True,False,-0.9183837159439541,-0.009502403246715363,,seed SD 0.040 -> too few inputs per neuron (fixed in-degree / raise p),350,4.0,True,True,-0.0393101651493315,-0.041580115249432725,True
n100_Bk4_d2_g520_stdpon,8,100,2712,on,1.777,-0.9902028983658892,0.013188237477062568,-0.035527613580192186,-0.9680283290389067,0.00314604587790971,-0.022174569326982474,-0.9882186253985533,-0.9696327809999393,0.8752963427069792,0.14186838332221374,1.024667489592008,15.102012692073192,15.116360798025994,519.6013239827097,0.0010351958667271163,0.49964426229182707,0.9999691636788324,174.14838337185907,98.51327944423147,-0.9902937202175316,-0.9902357819741214,-0.9901358904000522,1.0005572557138116,173.71408724212858,173.06958922569217,8,8,0.00015782981747938796,1.758,-0.018585844398613993,12.620069682598114,2.8203756104154287,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,False,-0.954675284785697,-0.035527613580192186,,"RIGHT leg off baseline (corr_F R -0.988, corr_RG R -0.970)",520,4.0,False,True,-0.029939907705393454,-0.03354055561565272,True
n100_Bk4_d2_g780_stdpon,8,100,2712,on,1.724,-0.9925855297773847,0.00210244571662998,0.0009986217907828054,-0.9245609699245244,0.010163594855886218,-0.06802455985286027,-0.9903535135955286,-0.9210823791638455,0.2912993668322915,0.09321872594331944,0.3441882500303205,16.147006923632258,16.22840745714162,779.9851456006022,0.0016235280705754714,0.49973972082025914,0.9999512122439963,174.0625000000766,74.55972222204579,-0.9929731565078402,-0.9922742675738279,-0.9927661735624319,1.0013607077179598,174.19583415976757,174.9583339692453,8,8,0.00020698294540830164,1.694,-0.06927113443168309,13.266927272081375,2.9030527469965186,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,-0.9935841515681675,0.0009986217907828054,,,780,4.0,True,True,0.005178474018638801,0.0017882037544455498,True
n100_Bk4_d3_g350_stdpon,8,100,2712,on,1.443,-0.9297717934936306,0.023060811276245145,-0.011388077549676523,-0.927238316750743,0.005976152554543129,-0.0025334767428876193,-0.9131962251685358,-0.9269553513247364,1.97389390581415,0.4707521254809648,2.8675159727452595,12.279609639006248,12.014813311461136,350.3989661841054,0.0017574509468724123,0.4992068640314269,0.9999046352817451,138.2705479454988,93.32191780717528,-0.9341033061262198,-0.9285256636477612,-0.9283623344849307,0.9961112940764001,138.90138759018072,139.15186178497586,6,8,0.00574097164128913,1.43,0.013759126156200563,13.55161988735199,2.751689328670151,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,-0.9183837159439541,-0.011388077549676523,,,350,4.0,True,True,-0.032051764421693996,-0.03270947397736845,True
